sequence,date,event,event1,event2,date_formatted
40,2006-06-24,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,,"June 24, 2006"
41,2006-06-28,UFC Ultimate Fight Night 5,UFC Ultimate Fight Night 5,,"June 28, 2006"
42,2006-07-08,UFC 61: Bitter Rivals,UFC 61: Bitter Rivals,,"July 08, 2006"
43,2006-08-17,UFC Fight Night 6,UFC Fight Night 6,,"August 17, 2006"
44,2006-08-26,UFC 62: Liddell vs. Sobral,UFC 62: Liddell vs. Sobral,,"August 26, 2006"
45,2006-09-23,UFC 63: Hughes vs. Penn,UFC 63: Hughes vs. Penn,,"September 23, 2006"
46,2006-10-10,UFC Fight Night 6.5,UFC Fight Night 6.5,,"October 10, 2006"
47,2006-10-14,UFC 64: Unstoppable,UFC 64: Unstoppable,,"October 14, 2006"
48,2006-11-11,The Ultimate Fighter: The Comeback Finale,The Ultimate Fighter: The Comeback Finale,,"November 11, 2006"
49,2006-11-18,UFC 65: Bad Intentions,UFC 65: Bad Intentions,,"November 18, 2006"
50,2006-12-13,UFC Fight Night: Sanchez vs. Riggs,UFC Fight Night: Sanchez vs. Riggs,,"December 13, 2006"
51,2006-12-30,UFC 66: Liddell vs. Ortiz,UFC 66: Liddell vs. Ortiz,,"December 30, 2006"
52,2007-01-25,UFC Fight Night: Evans vs. Salmon,UFC Fight Night: Evans vs. Salmon,,"January 25, 2007"
53,2007-02-03,UFC 67: All or Nothing,UFC 67: All or Nothing,,"February 03, 2007"
54,2007-03-03,UFC 68: The Uprising,UFC 68: The Uprising,,"March 03, 2007"
55,2007-04-05,UFC Fight Night: Stevenson vs. Guillard,UFC Fight Night: Stevenson vs. Guillard,,"April 05, 2007"
56,2007-04-07,UFC 69: Shootout,UFC 69: Shootout,,"April 07, 2007"
57,2007-04-21,UFC 70: Nations Collide,UFC 70: Nations Collide,,"April 21, 2007"
58,2007-05-26,UFC 71: Liddell vs. Jackson,UFC 71: Liddell vs. Jackson,,"May 26, 2007"
59,2007-06-12,UFC Fight Night: Stout vs. Fisher,UFC Fight Night: Stout vs. Fisher,,"June 12, 2007"
60,2007-06-16,UFC 72: Victory,UFC 72: Victory,,"June 16, 2007"
61,2007-06-23,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,,"June 23, 2007"
62,2007-07-07,UFC 73: Stacked,UFC 73: Stacked,,"July 07, 2007"
63,2007-08-25,UFC 74: Respect,UFC 74: Respect,,"August 25, 2007"
64,2007-09-08,UFC 75: Champion vs. Champion,UFC 75: Champion vs. Champion,,"September 08, 2007"
65,2007-09-19,UFC Fight Night: Thomas vs. Florian,UFC Fight Night: Thomas vs. Florian,,"September 19, 2007"
66,2007-09-22,UFC 76: Knockout,UFC 76: Knockout,,"September 22, 2007"
67,2007-10-20,UFC 77: Hostile Territory,UFC 77: Hostile Territory,,"October 20, 2007"
68,2007-11-17,UFC 78: Validation,UFC 78: Validation,,"November 17, 2007"
69,2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,,"December 08, 2007"
70,2007-12-29,UFC 79: Nemesis,UFC 79: Nemesis,,"December 29, 2007"
71,2008-01-19,UFC 80: Rapid Fire,UFC 80: Rapid Fire,,"January 19, 2008"
72,2008-01-23,UFC Fight Night: Swick vs. Burkman,UFC Fight Night: Swick vs. Burkman,,"January 23, 2008"
